Signal_Strength,Distance,Channel_Frequency,Jamming_Likelihood
-66.09702089512993,121.18137594946604,2.4GHz,0
-65.07904253873392,465.34751932604644,2.4GHz,1
-27.404432112976068,361.54288093034427,2.4GHz,0
-10.288974004742286,383.7002100566273,2.4GHz,0
-11.29135757348827,108.7161329386486,2.4GHz,0
-22.012445414237618,124.75526855223833,5GHz,0
-35.796835384571224,265.4211993737922,5GHz,0
-91.58600350049511,94.32892779843246,5GHz,0
-83.83712859053863,159.66152941468582,2.4GHz,0
-10.144581147292072,167.5166141944242,2.4GHz,0
-39.357094034041005,88.21866729385441,5GHz,0
-99.08029483833704,110.53958836362877,5GHz,0
-89.85284571339679,396.3904025840457,5GHz,1
-33.64982308919441,91.92596872816151,2.4GHz,0
-99.49384161537813,23.94412200352202,5GHz,0
-83.91919485825014,318.3839218881798,5GHz,1
-45.12662106334139,488.2317285023005,5GHz,0
-30.810480230730676,172.29476916532948,5GHz,0
-34.803874049739946,68.14129456616362,5GHz,0
-77.57306905394402,289.48978943009007,2.4GHz,1
-28.782077865246407,454.1135634368666,2.4GHz,0
-76.27509125031999,394.1902721159546,5GHz,1
-67.46003018407322,315.03277552223085,2.4GHz,1
-25.350859488197585,164.3776833377237,5GHz,0
-35.036710095278536,275.5212849053478,5GHz,0
-15.077658950582205,54.709972239085126,2.4GHz,0
-34.238710769965664,342.6832578975283,2.4GHz,0
-43.169139666452836,365.2970492598489,2.4GHz,0
-90.63252321719075,482.86549522586023,2.4GHz,1
-63.22841969405665,137.5947057850851,5GHz,0
-73.47976323182746,19.043645331081095,2.4GHz,0
-75.60103566209165,277.3481475693038,5GHz,1
-2.698944524755447,356.3273471544391,5GHz,0
-60.69022753332396,397.2996631826641,5GHz,1
-10.79534448228867,104.9320771821572,5GHz,0
-36.88613740027371,138.2589058281416,5GHz,0
-20.518869645835153,261.16955338097523,2.4GHz,0
-49.73629068948079,171.99439688530092,5GHz,0
-42.30961153736409,431.65062842784806,2.4GHz,0
-50.74823061811361,242.14247533197292,5GHz,1
-80.47570122019555,401.79353560998146,2.4GHz,1
-27.754788473849473,294.50368263635335,2.4GHz,0
-71.92276375591442,388.8141693923849,5GHz,1
-97.56840335685462,173.00976339985868,5GHz,0
-35.45277040928322,417.3941447458525,2.4GHz,0
-82.2889320592951,144.54043462000058,5GHz,0
-5.954141564708564,277.58841592161247,5GHz,0
-4.60714229974127,114.86348545519837,2.4GHz,0
-8.513560977955152,243.00799559683475,2.4GHz,0
-62.98412997445556,165.90585265926455,5GHz,0
-98.45433834711326,140.684681012235,5GHz,0
-7.168143741227468,483.8226588337384,5GHz,0
-57.18158516826857,88.43631168849801,5GHz,0
-3.334518095633044,395.78966035412367,2.4GHz,0
-3.638002291074713,492.2408301467753,2.4GHz,0
-14.699054453263997,19.751727032638136,5GHz,0
-70.55511079304144,352.52343288062656,2.4GHz,1
-61.49022713980747,133.9267847225807,2.4GHz,0
-14.88633284831431,29.839033920869177,2.4GHz,0
-68.30779948437223,207.4158936887491,2.4GHz,1
-83.05072533139075,468.25672698372875,2.4GHz,1
-44.31987375416499,15.764896239828866,2.4GHz,0
-6.384522583921907,298.063989045593,2.4GHz,0
-30.397020332502706,255.6842745117089,5GHz,0
-42.9938829910635,437.95824054181327,5GHz,0
-90.28235062292315,51.16084011510657,2.4GHz,0
-38.499277330083025,343.94775464445866,2.4GHz,0
-0.9946149895736767,343.2537522323059,2.4GHz,0
-85.9915984763476,337.8492082625188,2.4GHz,1
-48.167034763626326,471.7439025181681,2.4GHz,0
-12.26269280720446,413.3128892133714,5GHz,0
-25.92313822457956,30.566635859317945,2.4GHz,0
-30.298425900473205,240.83059684521146,5GHz,0
-29.75159160128908,204.9969975386534,5GHz,0
-64.05088487802448,161.972138334493,2.4GHz,0
-70.64081557355067,231.15499532550766,2.4GHz,1
-19.063884452148642,198.25515061372894,2.4GHz,0
-18.988660532081923,221.843610940546,5GHz,0
-13.292768141989626,489.8383141482348,5GHz,0
-8.675944744352876,53.43015762729458,5GHz,0
-48.86576011390622,461.8931262209776,2.4GHz,0
-49.84837053128004,245.31598960080308,2.4GHz,0
-20.170482103322485,315.63370029477517,2.4GHz,0
-35.00360692222348,416.78965364267,2.4GHz,0
-29.80331227422967,186.6268842831352,2.4GHz,0
-20.420733056389892,220.90673496310376,2.4GHz,0
-10.999465818243365,210.66405533656985,5GHz,0
-66.20048431484642,193.61820104252232,5GHz,0
-62.4417047360056,463.5093676069785,2.4GHz,1
-90.6018060159131,416.1756466845759,2.4GHz,1
-42.1719859003826,63.40999503285829,5GHz,0
-96.40577262032579,62.98044271377706,5GHz,0
-53.44019818675398,219.65606227796567,5GHz,1
-45.73553652924234,58.34211459907644,2.4GHz,0
-71.34587478717157,313.3556166828486,5GHz,1
-40.91667394309893,80.40888755824962,5GHz,0
-96.94997500609506,265.9628993437325,5GHz,1
-96.26518112507856,13.537774031821698,5GHz,0
-17.739943934034173,165.1322107221969,5GHz,0
-63.980935858873714,341.8234545996012,2.4GHz,1
-87.29394873481152,247.17908071164572,2.4GHz,1
-47.775673994519565,489.3520481395042,5GHz,0
-23.000644690138913,438.3108600724433,2.4GHz,0
-78.41789725031569,185.9446817311441,2.4GHz,0
-37.71095241809997,32.28840532141456,5GHz,0
-91.4652535006232,424.3568870563592,2.4GHz,1
-94.83182788313923,456.50481205418896,2.4GHz,1
-46.8645368431852,412.107422775328,5GHz,0
-45.93648783898935,72.69547105068477,5GHz,0
-36.257009850179344,498.978415862021,2.4GHz,0
-27.390866627733843,136.70626856085917,2.4GHz,0
-2.414792053746538,364.86040727610134,2.4GHz,0
-48.369965169880466,454.9370894045036,5GHz,0
-67.70435270587541,125.48668602204762,2.4GHz,0
-20.48138052312963,455.0466917917624,2.4GHz,0
-72.91677487379258,161.6459738054848,5GHz,0
-56.10285792943639,488.4424789681875,2.4GHz,1
-92.15436186577341,147.81740998643255,5GHz,0
-97.46492565845425,477.18355413133924,2.4GHz,1
-3.7351585322074925,36.23687893741071,5GHz,0
-16.40198794877942,357.5432857182084,2.4GHz,0
-30.40257939063021,270.7344555801318,2.4GHz,0
-59.10470555857301,244.159767790138,5GHz,1
-82.67056799291542,119.5122139853616,5GHz,0
-84.3562957328914,355.74193699048107,5GHz,1
-74.97571018354047,103.49665080869048,5GHz,0
-45.07733352938795,280.8924800325364,5GHz,0
-28.54040772999376,134.09022788972288,5GHz,0
-33.98026232822687,478.2544760928645,5GHz,0
-72.00661030540572,24.029284979469885,2.4GHz,0
-4.5134719336805915,107.86685725450592,2.4GHz,0
-26.210308330423146,128.7321971298494,2.4GHz,0
-44.56459474885993,212.89323462623005,2.4GHz,0
-38.82792537656478,124.03781851632623,2.4GHz,0
-58.03999375722101,250.76105423170478,2.4GHz,1
-75.22690104988425,437.5081063966841,2.4GHz,1
-64.40273213487384,358.91107649049366,5GHz,1
-24.215388953563092,294.1813704622044,2.4GHz,0
-98.56065113702441,53.61155721151303,5GHz,0
-88.39273594930837,350.05613311074507,2.4GHz,1
-95.39973579782472,91.54299931236052,5GHz,0
-95.92711976810298,395.320019121232,2.4GHz,1
-14.453941598899277,132.52781166997505,2.4GHz,0
-29.63421406199764,214.35387687724145,2.4GHz,0
-52.58261709126748,181.73039913578467,2.4GHz,0
-90.21658393489986,430.81881819067985,5GHz,1
-50.83841248831676,72.00678476956999,2.4GHz,0
-52.65282292194343,287.1659923685464,5GHz,1
-82.67981300899848,79.6101886271005,2.4GHz,0
-56.614835076202695,355.34995970477144,2.4GHz,1
-60.14952656026266,453.4882826192958,2.4GHz,1
-38.414990194778355,222.9577503949542,2.4GHz,0
-36.49063491323562,249.16520752983817,5GHz,0
-95.46959902279555,464.4371898765535,5GHz,1
-62.53873853735288,265.285780438185,5GHz,1
-37.41400842857636,248.92323464428486,2.4GHz,0
-49.68637414199123,293.38126032510905,2.4GHz,0
-14.351015881167768,347.7225708178464,2.4GHz,0
-34.1306368381055,62.37285379264538,2.4GHz,0
-83.70655729185702,412.34415859334285,5GHz,1
-92.94312525995701,223.39746345209704,5GHz,1
-35.75807217936844,45.450769849767916,5GHz,0
-97.34886894583782,395.2295079071244,2.4GHz,1
-41.42244187265367,194.7054861262733,5GHz,0
-5.976975857504243,59.18007259657643,2.4GHz,0
-42.4525822124121,320.5517293761928,5GHz,0
-61.183007379347806,441.26436318248443,5GHz,1
-35.67117815576468,444.9992196128533,5GHz,0
-54.174710950848336,479.25510265639684,5GHz,1
-45.43832106840651,435.17567528567713,2.4GHz,0
-5.853519122347478,11.04905047928286,2.4GHz,0
-61.389736219922575,196.3181715425612,5GHz,0
-3.8809436176085796,411.0858641536965,5GHz,0
-9.464935804393633,189.46397293925236,2.4GHz,0
-80.42088652107036,304.758768126056,5GHz,1
-93.06386991248345,307.0953042135207,5GHz,1
-89.92219986225733,188.86239897902328,5GHz,0
-98.17781743484502,453.19222436783093,2.4GHz,1
-90.55570392440715,256.5818892391976,2.4GHz,1
-31.69932265836431,237.74426090937538,5GHz,0
-92.8811351539771,498.781735374329,5GHz,1
-68.10243697062387,251.81517839558217,2.4GHz,1
-15.51246890305454,97.41514344500472,2.4GHz,0
-97.67280642641741,261.40401720308466,2.4GHz,1
-18.55315174110642,408.86820040476573,2.4GHz,0
-71.81452252266001,390.6615601801579,2.4GHz,1
-88.18351723783438,396.4050649031508,2.4GHz,1
-30.32628346358493,356.93165415897676,2.4GHz,0
-37.1057153220116,134.56673624267722,2.4GHz,0
-12.25279864729471,432.4212020617134,5GHz,0
-26.492895619611417,447.7872980343699,5GHz,0
-19.651906961515138,105.13482134308904,2.4GHz,0
-71.79654274286935,73.92326191018302,5GHz,0
-82.25604562202771,488.0464346086649,2.4GHz,1
-24.938524835914166,435.47874218868026,5GHz,0
-19.316526073273593,447.6857121328739,2.4GHz,0
-0.949485799932674,444.32442846595364,2.4GHz,0
-58.73823230885735,275.4265437765269,5GHz,1
-62.798191420721686,326.73685096624183,5GHz,1
-22.358703925800313,277.2277975454844,5GHz,0
-65.91964597469821,35.09111110326124,5GHz,0
-6.924267439643529,375.2965118228586,5GHz,0
-14.158724815698818,257.6126963345813,2.4GHz,0
-57.10059726249816,327.3774466472126,2.4GHz,1
-24.912893220850265,256.2935044380123,2.4GHz,0
-24.545712591531768,250.98754793800342,5GHz,0
-89.68761311640674,94.17666364410574,2.4GHz,0
-9.744709332043328,146.569720419163,2.4GHz,0
-49.474762755214286,87.83781905253834,5GHz,0
-17.354253389225832,105.87648485641779,2.4GHz,0
-67.99503989693883,486.7589164059494,5GHz,1
-10.447677150379945,85.02558842837723,5GHz,0
-61.07983212658369,141.94250790955175,2.4GHz,0
-98.91623485197016,299.38893229190666,2.4GHz,1
-9.46180235807364,308.9875023559545,5GHz,0
-90.87133232138665,85.44732357447624,5GHz,0
-68.06863624095851,398.92153863475403,2.4GHz,1
-4.993803294919502,394.74940527728427,2.4GHz,0
-4.939285306244386,126.28567505990664,2.4GHz,0
-42.65621118767139,151.4464883109756,2.4GHz,0
-36.816278783020074,469.6140540751535,2.4GHz,0
-55.15544780216802,414.57900852994425,5GHz,1
-70.67892283019354,351.9205462006367,5GHz,1
-67.1335454630084,50.294278540194256,2.4GHz,0
-32.74815439229616,214.9493996422621,2.4GHz,0
-24.762547056231995,284.05791731764526,2.4GHz,0
-20.842095627415148,101.8315311120507,2.4GHz,0
-21.038185720544618,229.63102523303002,2.4GHz,0
-90.87938969513097,304.5026799694581,5GHz,1
-50.557969529741854,170.41457325654562,5GHz,0
-94.24412399833557,392.66296128573873,2.4GHz,1
-45.04711176762645,421.8202950030147,2.4GHz,0
-55.8469498626623,168.56864002269467,2.4GHz,0
-11.229581724170018,420.942005701304,5GHz,0
-64.90849874479213,60.75251739047736,5GHz,0
-88.29329835723941,420.4872583251016,5GHz,1
-85.70083179471641,84.84771151713213,2.4GHz,0
-23.848936828252775,50.63430472976576,2.4GHz,0
-38.17819366837389,324.4699481760955,5GHz,0
-89.88773238772097,241.24930922009423,5GHz,1
-91.58931938850026,454.86639420228806,2.4GHz,1
-29.903086854088002,187.9627060845161,5GHz,0
-92.72369936358065,150.70460908443806,5GHz,0
-17.813994070964384,255.36010401065718,5GHz,0
-29.375777284350377,233.41363102664403,2.4GHz,0
-91.86512193581002,178.76974264642226,2.4GHz,0
-91.51622859148081,349.933236362181,5GHz,1
-1.3360421498824593,382.1852986178151,5GHz,0
-62.572920424387966,427.96214482476694,2.4GHz,1
-62.93578529331091,486.699736308068,2.4GHz,1
-18.720043274249747,140.6615341449272,5GHz,0
-5.2751422616141355,360.88580642008117,5GHz,0
-1.3998936177129053,203.18653539291518,5GHz,0
-24.662181474105836,341.77016625604296,2.4GHz,0
-62.37404144690842,243.23102827111796,5GHz,1
-91.64992833013312,496.9488203562865,5GHz,1
-22.285308407256323,367.16204653746746,5GHz,0
-44.159575026419496,476.720737212819,5GHz,0
-57.57779907530237,419.135079245781,5GHz,1
-9.364561490526398,452.4214954700518,2.4GHz,0
-88.88025176938487,409.0654066351907,5GHz,1
-50.737489570914086,234.98797388419658,5GHz,1
-98.86463552325809,133.37634213997336,2.4GHz,0
-53.13393580058737,191.45688597075588,2.4GHz,0
-94.36967243181627,19.91575399357572,5GHz,0
-88.1182083731928,266.7566520576869,5GHz,1
-88.24737532228951,257.47832213250024,5GHz,1
-35.07896978839365,267.37272776693925,2.4GHz,0
-25.395512073457667,487.2753002363113,2.4GHz,0
-41.663123490284036,456.61246169287125,2.4GHz,0
-3.7827451525458144,89.23926138175293,2.4GHz,0
-62.51294204762959,190.7524355623857,5GHz,0
-71.42879137181393,217.73852793699834,2.4GHz,1
-13.140087181053971,186.6611297473074,5GHz,0
-77.64041614805474,401.2630221659174,2.4GHz,1
-3.6777460559388686,266.77845823511757,5GHz,0
-98.78455253101836,290.32891031609626,5GHz,1
-3.0121173292360908,427.9766439040835,5GHz,0
-95.6840088049424,404.9047951735257,2.4GHz,1
-10.885688630192888,74.78364618194685,5GHz,0
-47.22988909137001,359.8181462009808,5GHz,0
-0.7035203880699612,223.36370316199742,5GHz,0
-92.62034352646012,154.37796250062522,2.4GHz,0
-44.61457155986792,34.50922224207131,5GHz,0
-3.0697464380901067,248.75228456927098,2.4GHz,0
-47.69021558298512,184.1639735550204,5GHz,0
-37.06013618647375,133.2413894414364,2.4GHz,0
-30.425131101538284,350.3891475025092,5GHz,0
-54.545893523222674,387.04783978463763,5GHz,1
-37.24419199159365,129.94686432441816,5GHz,0
-41.56856880768998,34.229243972880155,5GHz,0
-9.884198950901109,425.8888232769651,2.4GHz,0
-95.45536196585421,14.880273190108626,5GHz,0
-71.90368104077697,469.1851220215213,5GHz,1
-4.958851592344132,317.5337382515259,5GHz,0
-10.973621610908367,167.70485124864695,2.4GHz,0
-54.43432472142871,130.77417569260075,2.4GHz,0
-37.986740219846325,14.41277548959287,2.4GHz,0
-72.26188170188674,125.3809943353298,5GHz,0
-81.18788402762387,77.48686774339915,2.4GHz,0
-53.63015950600178,309.9614481543414,2.4GHz,1
-64.66477719739473,91.60733841096264,2.4GHz,0
-41.634388814912796,269.0286203929435,5GHz,0
-92.22653630350152,299.1570469487907,2.4GHz,1
-2.5605192333833457,156.0404321899881,5GHz,0
-1.3789255520397177,27.181825019172166,2.4GHz,0
-30.183828598025485,28.25440150095609,2.4GHz,0
-46.39036336558796,22.910192775019627,5GHz,0
-69.04723837136723,372.17108689690764,5GHz,1
-18.62049802930514,165.82475535900608,5GHz,0
-31.526882744612067,400.1870911241552,2.4GHz,0
-83.73830606551087,221.5490836829961,5GHz,1
-8.90728155061575,231.96906940668228,5GHz,0
-17.746275707683097,261.31247522969113,2.4GHz,0
-5.020008670807599,359.3854136238009,5GHz,0
-27.428049161163997,144.01640425655646,5GHz,0
-38.65848040642101,69.57780127142817,2.4GHz,0
-58.17569637093811,282.46809424381615,2.4GHz,1
-6.727151664598679,170.21903538894225,2.4GHz,0
-13.393611049959162,226.82074369733832,5GHz,0
-95.47813298938107,327.00388708527964,2.4GHz,1
-97.3633025502748,252.1216131592226,5GHz,1
-62.35366331219504,313.936620379413,2.4GHz,1
-18.944666921816705,276.65800103567767,2.4GHz,0
-1.2723870685055516,372.5002222486886,2.4GHz,0
-84.95831088964718,355.9089426786938,5GHz,1
-40.58692846478649,271.7530469862234,5GHz,0
-61.91091433689785,342.6624802212564,5GHz,1
-3.008560218539685,438.04420511358023,5GHz,0
-15.788107686429129,221.8129310162026,5GHz,0
-16.16712952888622,212.2539056469089,2.4GHz,0
-53.13068402050297,384.4803542176663,2.4GHz,1
-58.51804976623348,295.45138015057705,2.4GHz,1
-72.65929280692937,44.79332230906839,2.4GHz,0
-94.3624503349073,447.1348876886299,5GHz,1
-13.527762374494685,25.083720096443667,5GHz,0
-18.709899086992237,376.71421454277413,5GHz,0
-0.028232671386945185,381.8091299251133,2.4GHz,0
-0.3363162926094674,477.02443178814593,2.4GHz,0
-44.456829439737255,36.52586011713717,5GHz,0
-23.101258481948946,302.4598617844006,2.4GHz,0
-5.523427011757192,219.64187960725593,2.4GHz,0
-15.03526093225885,172.01014788117558,5GHz,0
-75.26518982568024,54.25609454654579,2.4GHz,0
-54.94558646899065,285.7005186389415,5GHz,1
-87.0840584848505,244.7299555805607,2.4GHz,1
-4.59489727412776,61.23168449400189,5GHz,0
-39.382536554911994,310.11985847757086,2.4GHz,0
-77.13571944965372,371.59702892393983,5GHz,1
-32.829931559414334,385.9663675162876,5GHz,0
-38.18717595421042,453.63286224858945,2.4GHz,0
-64.18372819671595,210.64066352550083,2.4GHz,1
-88.6442407800371,477.0056566248471,5GHz,1
-32.842680440720045,434.0604084905162,5GHz,0
-47.96922990962067,155.28576980173014,5GHz,0
-22.768160826436073,88.04868830123465,5GHz,0
-47.98364988880066,223.34080410272657,5GHz,0
-14.781849968145991,206.93036689842364,2.4GHz,0
-44.809316122551444,292.1024596122901,2.4GHz,0
-43.906202846461376,295.8592538405965,2.4GHz,0
-12.334639734165492,377.49362234618786,2.4GHz,0
-59.6517133787603,259.846074620749,2.4GHz,1
-86.59847715493592,61.363094060975115,5GHz,0
